SerialNo,Title,Ministry,Introduced,Passed_LS,Passed_RS
95,"The Central Universities (Amendment) Bill, 2022",EDUCATION,01/08/2022,03/08/2022,08/08/2022
96,"The Family Courts (Amendment) Bill, 2022",LAW  AND JUSTICE,18/07/2022,26/07/2022,04/08/2022
97,"The Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Amendment Bill, 2022",EXTERNAL AFFAIRS,05/04/2022,06/04/2022,01/08/2022
98,"The Indian Antarctic Bill, 2022",EARTH SCIENCES,01/04/2022,22/07/2022,01/08/2022
99,"The Constitution (Scheduled Castes and Scheduled Tribes) Orders (Second Amendment) Bill, 2022",TRIBAL AFFAIRS,28/03/2022,01/04/2022,14/12/2022
100,"The Criminal Procedure (Identification) Bill, 2022",HOME AFFAIRS,28/03/2022,04/04/2022,06/04/2022
101,"The Delhi Municipal Corporation (Amendment) Bill, 2022",HOME AFFAIRS,25/03/2022,30/03/2022,05/04/2022
102,"The Appropriation Bill, 2022",FINANCE,24/03/2022,24/03/2022,29/03/2022
103,"The Appropriation (No.2) Bill, 2022",FINANCE,14/03/2022,14/03/2022,21/03/2022
104,"The Appropriation (No.3) Bill, 2022",FINANCE,14/03/2022,14/03/2022,21/03/2022
105,"The Jammu and Kashmir Appropriation Bill, 2022",FINANCE,14/03/2022,14/03/2022,23/03/2022
106,"The Jammu and Kashmir Appropriation (No.2) Bill, 2022",FINANCE,14/03/2022,14/03/2022,23/03/2022
107,"The Constitution (Scheduled Castes and Scheduled Tribes) Orders (Amendment) Bill, 2022",TRIBAL AFFAIRS,07/02/2022,05/04/2022,30/03/2022
108,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2022",TRIBAL AFFAIRS,07/02/2022,28/03/2022,06/04/2022
109,"The Finance Bill, 2022",FINANCE,01/02/2022,25/03/2022,29/03/2022
110,"The Election Laws (Amendment) Bill, 2021",LAW  AND JUSTICE,20/12/2021,20/12/2021,21/12/2021
111,"The Mediation Bill, 2021",LAW  AND JUSTICE,20/12/2021,07/08/2023,01/08/2023
112,"The Appropriation (No.5) Bill, 2021",FINANCE,20/12/2021,20/12/2021,
113,"The National Anti-Doping Bill, 2022",YOUTH AFFAIRS & SPORTS,17/12/2021,27/07/2022,03/08/2022
114,"The Wild Life (Protection) Amendment Bill, 2022","ENVIRONMENT, FORESTS & CLIMATE CHANGE",17/12/2021,02/08/2022,08/12/2022
115,"The Chartered Accountants, the Cost and Works Accountants and the Company Secretaries (Amendment) Bill, 2021",CORPORATE AFFAIRS,17/12/2021,30/03/2022,05/04/2022
116,"The Biological Diversity (Amendment) Bill, 2021","ENVIRONMENT, FORESTS & CLIMATE CHANGE",16/12/2021,25/07/2023,01/08/2023
117,"The Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 2021",FINANCE,06/12/2021,13/12/2021,20/12/2021
118,"The Central Vigilance Commission (Amendment) Bill, 2021","PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",03/12/2021,09/12/2021,14/12/2021
119,"The Delhi Special Police Establishment (Amendment) Bill, 2021","PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",03/12/2021,09/12/2021,14/12/2021
120,"The High Court and Supreme Court Judges (Salaries and Conditions of Service) Amendment Bill, 2021",LAW  AND JUSTICE,30/11/2021,08/12/2021,13/12/2021
121,"The Farm Laws Repeal Bill, 2021",AGRICULTURE AND FARMERS WELFARE,29/11/2021,29/11/2021,29/11/2021
122,"The National Commission for Homoeopathy (Amendment) Bill, 2021","AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY",09/08/2021,10/08/2021,11/08/2021
